longitude,latitude
[ 8.84310055],[ 47.60512161]
[ 8.8431282],[ 47.60519409]
[ 8.84312248],[ 47.60522079]
[ 8.84312153],[ 47.60522461]
[ 8.84312534],[ 47.60523987]
[ 8.84312248],[ 47.60526276]
[ 8.8431263],[ 47.60526657]
[ 8.84311867],[ 47.6052742]
[ 8.84312344],[ 47.60527802]
[ 8.84313297],[ 47.60527802]
[ 8.84311771],[ 47.60528183]
[ 8.84308338],[ 47.6053009]
[ 8.84305191],[ 47.60535049]
[ 8.84306145],[ 47.60532379]
[ 8.84308147],[ 47.60528183]
[ 8.84309006],[ 47.60526276]
[ 8.84311581],[ 47.60525513]
[ 8.84310818],[ 47.60525131]
[ 8.84308529],[ 47.6052475]
[ 8.84306812],[ 47.60523987]
[ 8.84307003],[ 47.60522079]
[ 8.8431139],[ 47.60516739]
[ 8.84312344],[ 47.60513306]
[ 8.84311199],[ 47.60512161]
[ 8.84312725],[ 47.60509491]
[ 8.84310818],[ 47.60513306]
[ 8.84300995],[ 47.6052475]
[ 8.84289742],[ 47.60536194]
[ 8.84292126],[ 47.6053772]
[ 8.84296989],[ 47.60533524]
[ 8.84298801],[ 47.60532379]
[ 8.84301662],[ 47.60530853]
[ 8.84305859],[ 47.6052742]
[ 8.84309483],[ 47.60525131]
[ 8.84309769],[ 47.60525131]
[ 8.84308815],[ 47.60525513]
[ 8.84308529],[ 47.60526276]
[ 8.84307957],[ 47.60525894]
[ 8.84308147],[ 47.6052475]
[ 8.8430748],[ 47.60523987]
[ 8.8430748],[ 47.60523224]
[ 8.84307289],[ 47.60523224]
[ 8.84307957],[ 47.60522079]
[ 8.84310436],[ 47.60523605]
[ 8.84310055],[ 47.60525131]
[ 8.84308434],[ 47.60524368]
[ 8.84307861],[ 47.60523605]
[ 8.84307289],[ 47.60524368]
[ 8.84307003],[ 47.6052475]
[ 8.84306908],[ 47.60523224]
[ 8.84306812],[ 47.60521698]
[ 8.84306145],[ 47.60519791]
[ 8.84305859],[ 47.60518646]
[ 8.84305573],[ 47.60517502]
[ 8.84304428],[ 47.6051712]
[ 8.84303379],[ 47.60515594]
[ 8.84302521],[ 47.60514069]
[ 8.8430233],[ 47.60512161]
[ 8.84302425],[ 47.60513687]
[ 8.8430233],[ 47.6051712]
[ 8.84302521],[ 47.60519791]
[ 8.84303665],[ 47.60522461]
[ 8.84303761],[ 47.60526276]
[ 8.84305096],[ 47.60527802]
[ 8.84306145],[ 47.60527039]
[ 8.84306812],[ 47.60526657]
[ 8.84308624],[ 47.60526657]
[ 8.84308052],[ 47.60527039]
[ 8.84307098],[ 47.6052742]
[ 8.84307384],[ 47.60528564]
[ 8.84307098],[ 47.60528946]
[ 8.84305573],[ 47.60529709]
[ 8.8430233],[ 47.60530853]
[ 8.84295177],[ 47.60532379]
[ 8.84295082],[ 47.60533142]
[ 8.84299755],[ 47.60528946]
[ 8.84305],[ 47.60525513]
[ 8.84305859],[ 47.60522842]
[ 8.84305191],[ 47.60522461]
[ 8.84305573],[ 47.60522079]
[ 8.84305859],[ 47.60522079]
[ 8.84305191],[ 47.60523224]
[ 8.84304714],[ 47.60524368]
[ 8.84305191],[ 47.60523224]
[ 8.84305763],[ 47.60521317]
[ 8.84306526],[ 47.60519409]
[ 8.84307194],[ 47.60519409]
[ 8.84307766],[ 47.60519791]
[ 8.84308529],[ 47.60519409]
[ 8.84308434],[ 47.60520554]
[ 8.84308624],[ 47.60520172]
[ 8.84309578],[ 47.60520554]
[ 8.84311581],[ 47.60518265]
[ 8.84312344],[ 47.60516357]
[ 8.84314823],[ 47.60512924]
[ 8.84310627],[ 47.60515594]
[ 8.84305668],[ 47.60522079]
[ 8.8430233],[ 47.60523987]
[ 8.84292984],[ 47.60525131]
[ 8.84286976],[ 47.60527802]
