longitude,latitude
[ 8.93820477],[ 47.74676895]
[ 8.93830872],[ 47.74672699]
[ 8.9385891],[ 47.7468338]
[ 8.9384222],[ 47.74663544]
[ 8.93843079],[ 47.74673462]
[ 8.93839741],[ 47.74675369]
[ 8.93839836],[ 47.74671936]
[ 8.93845654],[ 47.74674988]
[ 8.93841934],[ 47.74670029]
[ 8.93856812],[ 47.74671173]
[ 8.93817902],[ 47.74665833]
[ 8.93830013],[ 47.74670792]
[ 8.93861866],[ 47.74684143]
[ 8.93847752],[ 47.74662399]
[ 8.93838978],[ 47.74670792]
[ 8.93841171],[ 47.74672318]
[ 8.93840218],[ 47.7467308]
[ 8.93841839],[ 47.74672699]
[ 8.93839264],[ 47.74671173]
[ 8.93841171],[ 47.74668884]
[ 8.93846703],[ 47.74668503]
[ 8.93830299],[ 47.74663162]
[ 8.93835068],[ 47.74665833]
[ 8.93842983],[ 47.74668503]
[ 8.93836784],[ 47.7466011]
[ 8.93832207],[ 47.74660873]
[ 8.93837261],[ 47.74660492]
[ 8.93850231],[ 47.74661636]
[ 8.93814087],[ 47.74658966]
[ 8.93826962],[ 47.74668121]
[ 8.93847656],[ 47.7468071]
[ 8.9383812],[ 47.74666977]
[ 8.9383831],[ 47.74675751]
[ 8.93840981],[ 47.74674988]
[ 8.9383955],[ 47.74673843]
[ 8.93841457],[ 47.74673462]
[ 8.93842316],[ 47.74674988]
[ 8.93844318],[ 47.74675369]
[ 8.93842888],[ 47.74676132]
[ 8.93855953],[ 47.74675751]
[ 8.93798351],[ 47.74672318]
[ 8.93821335],[ 47.74681854]
[ 8.93859768],[ 47.74701691]
[ 8.93830109],[ 47.74666214]
[ 8.93827724],[ 47.74674988]
[ 8.9383955],[ 47.74674606]
[ 8.93837166],[ 47.74670029]
[ 8.93837261],[ 47.74670029]
[ 8.93853092],[ 47.74671173]
[ 8.93819904],[ 47.74664688]
[ 8.93831158],[ 47.74670792]
[ 8.93850231],[ 47.74681854]
[ 8.93839359],[ 47.74662781]
[ 8.93838406],[ 47.74670029]
[ 8.93841457],[ 47.74667358]
[ 8.93840599],[ 47.74666977]
[ 8.93838215],[ 47.74666214]
[ 8.93841743],[ 47.7466774]
[ 8.93852043],[ 47.74668884]
[ 8.93830585],[ 47.7466507]
[ 8.93845081],[ 47.74668884]
[ 8.93855],[ 47.74671555]
[ 8.9383831],[ 47.74656677]
[ 8.93853951],[ 47.74663925]
[ 8.9372263],[ 47.74659348]
[ 8.93867016],[ 47.74694824]
[ 8.93835354],[ 47.74700546]
[ 8.93880653],[ 47.7463913]
[ 8.93805885],[ 47.74700165]
[ 8.9388876],[ 47.74637985]
[ 8.93920135],[ 47.74696732]
[ 8.93714046],[ 47.74598694]
[ 8.93764019],[ 47.74707794]
[ 8.93881798],[ 47.74715424]
[ 8.93890476],[ 47.74660873]
[ 8.93881321],[ 47.74660492]
[ 8.93878651],[ 47.74661636]
[ 8.93885708],[ 47.74661255]
[ 8.93884087],[ 47.74660873]
[ 8.93883228],[ 47.74660873]
[ 8.93886662],[ 47.74663162]
[ 8.93886662],[ 47.74660492]
[ 8.93883419],[ 47.74662399]
[ 8.93881321],[ 47.74661636]
[ 8.93882847],[ 47.74662018]
[ 8.93880939],[ 47.74661255]
[ 8.93878937],[ 47.74660492]
[ 8.93880272],[ 47.74660873]
[ 8.93879128],[ 47.74661255]
[ 8.93878841],[ 47.74662018]
[ 8.93879032],[ 47.74662781]
[ 8.93880939],[ 47.74662781]
[ 8.93879604],[ 47.74663162]
[ 8.93881226],[ 47.74661636]
[ 8.93881702],[ 47.74661255]
[ 8.93880653],[ 47.74660873]
[ 8.93882084],[ 47.74663544]
[ 8.9387989],[ 47.74662018]
[ 8.93881512],[ 47.74663925]
[ 8.93880939],[ 47.7466507]
[ 8.93880272],[ 47.74664307]
[ 8.93879128],[ 47.74664688]
[ 8.93872166],[ 47.74663162]
[ 8.93895245],[ 47.74664688]
[ 8.93886948],[ 47.74655914]
[ 8.93875408],[ 47.74643707]
[ 8.93889809],[ 47.74645615]
[ 8.93894196],[ 47.746418]
[ 8.9388752],[ 47.74652863]
[ 8.93879986],[ 47.74658203]
[ 8.93880558],[ 47.74662018]
[ 8.93880177],[ 47.74662399]
[ 8.9387989],[ 47.74661255]
[ 8.93883038],[ 47.74662018]
[ 8.93880558],[ 47.7466011]
[ 8.93884373],[ 47.74661636]
[ 8.93881702],[ 47.74662399]
[ 8.93888664],[ 47.74662781]
[ 8.93889523],[ 47.7466507]
[ 8.93888283],[ 47.74662018]
[ 8.93888187],[ 47.7466507]
[ 8.93893433],[ 47.74663925]
[ 8.93896484],[ 47.74666977]
[ 8.93896294],[ 47.74666977]
[ 8.93895149],[ 47.74668884]
[ 8.93894863],[ 47.74669266]
[ 8.93888378],[ 47.74668503]
[ 8.93877983],[ 47.74665451]
[ 8.93873501],[ 47.74666595]
[ 8.93876553],[ 47.7466774]
[ 8.93880939],[ 47.74668121]
[ 8.93880844],[ 47.7466774]
[ 8.93878841],[ 47.74665451]
[ 8.93879509],[ 47.74664307]
[ 8.9388113],[ 47.74663544]
[ 8.93880749],[ 47.74663544]
[ 8.93883419],[ 47.74664307]
[ 8.93882561],[ 47.74663162]
[ 8.9387989],[ 47.74662018]
[ 8.93880844],[ 47.74662781]
[ 8.93882084],[ 47.74664688]
[ 8.9388113],[ 47.74666214]
[ 8.93884373],[ 47.74668121]
[ 8.93879604],[ 47.74664307]
[ 8.93880177],[ 47.7466011]
[ 8.93870068],[ 47.74658966]
[ 8.93878841],[ 47.7465744]
[ 8.93751431],[ 47.74655533]
[ 8.93793678],[ 47.74679947]
[ 8.93918705],[ 47.7471962]
[ 8.93913651],[ 47.74645233]
[ 8.93940544],[ 47.74689102]
[ 8.9392643],[ 47.74681091]
[ 8.93900394],[ 47.74674225]
[ 8.93954659],[ 47.74704361]
[ 8.93933105],[ 47.7467804]
[ 8.93913841],[ 47.74677658]
[ 8.93926239],[ 47.74699402]
[ 8.93925571],[ 47.74678421]
[ 8.93933105],[ 47.74689102]
[ 8.93920803],[ 47.74684143]
[ 8.93922138],[ 47.74692535]
[ 8.9392662],[ 47.74699402]
[ 8.93921757],[ 47.74698257]
[ 8.9392271],[ 47.74703979]
[ 8.93928909],[ 47.74694824]
[ 8.93931198],[ 47.74690247]
