longitude,latitude
[-5.9847846],[ 35.02465439]
[-5.9847827],[ 35.02466965]
[-5.9847765],[ 35.02466583]
[-5.98477554],[ 35.02466202]
[-5.98476982],[ 35.02466202]
[-5.98476696],[ 35.02465057]
[-5.98476028],[ 35.02464676]
[-5.98475122],[ 35.02464676]
[-5.98475361],[ 35.02463913]
[-5.98475552],[ 35.02463531]
[-5.98474979],[ 35.02463913]
[-5.98472357],[ 35.0246315]
[-5.98472071],[ 35.02462387]
[-5.98474026],[ 35.02460861]
[-5.98475409],[ 35.02460861]
[-5.96866846],[ 35.0751152]
[-5.95004559],[ 35.05073929]
[-5.99532032],[ 35.09192276]
[-3.04196405],[ 17.43037033]
[-4.46079159],[ 26.27387428]
[-5.22196293],[ 30.6855278]
[-5.60051918],[ 32.85262299]
[-5.78872061],[ 33.95816803]
[-5.88357115],[ 34.48532867]
[-5.9329052],[ 34.75653839]
[-5.95878601],[ 34.89053345]
[-5.97176695],[ 34.95747757]
[-5.97828579],[ 34.9910202]
[-5.98153877],[ 35.00777054]
[-5.9831562],[ 35.01615143]
[-5.98396683],[ 35.0203476]
[-5.98435163],[ 35.02244186]
[-5.98453045],[ 35.02349091]
[-5.98463964],[ 35.02404022]
[-5.98469257],[ 35.02429581]
[-5.98470736],[ 35.02441025]
[-5.98473215],[ 35.02448654]
[-5.98472166],[ 35.0245285]
[-5.9847126],[ 35.02452469]
[-5.98458099],[ 35.02457809]
[-5.98422527],[ 35.02479553]
[-5.98460817],[ 35.02537918]
[-5.98383856],[ 35.02567673]
[-5.98239708],[ 35.02423477]
[-5.98270035],[ 35.02514267]
[-5.98293495],[ 35.02550888]
[-5.98314285],[ 35.02589417]
[-5.98347712],[ 35.02622223]
[-5.98325396],[ 35.02651215]
[-5.98344421],[ 35.02638626]
[-5.98384714],[ 35.027668]
[-5.98356581],[ 35.02789688]
[-5.98361206],[ 35.02808762]
[-5.98338842],[ 35.02830505]
[-5.98301554],[ 35.02846527]
[-5.98281765],[ 35.02855682]
[-5.98277521],[ 35.02853775]
[-5.98283958],[ 35.02853012]
[-5.98278952],[ 35.02850723]
[-5.98271418],[ 35.02853775]
[-5.98271799],[ 35.02859497]
[-5.96560097],[ 35.07778931]
[-5.94874239],[ 35.05561829]
[-5.99544907],[ 35.07565308]
[-3.04235172],[ 17.447258]
[-4.4591403],[ 26.28087425]
[-5.21911573],[ 30.69534302]
[-5.59538603],[ 32.85341263]
[-5.78407574],[ 33.96078491]
[-5.87963104],[ 34.49295044]
[-5.92950249],[ 34.76233673]
[-5.95555782],[ 34.89699936]
[-5.96868277],[ 34.96434021]
[-5.97538233],[ 34.99796295]
[-5.97873497],[ 35.01446152]
[-5.98031616],[ 35.02280426]
[-5.98105955],[ 35.02673721]
[-5.98133469],[ 35.02856445]
[-5.98136425],[ 35.02918243]
[-5.98142147],[ 35.02965546]
[-5.98127747],[ 35.02975082]
[-5.98125601],[ 35.02974701]
[-5.98135042],[ 35.02991867]
[-5.98119164],[ 35.02986526]
[-5.98106527],[ 35.02968597]
[-5.98121023],[ 35.02992249]
[-5.98078966],[ 35.02996063]
[-5.98058939],[ 35.02951431]
[-5.98073244],[ 35.03011703]
[-5.98049402],[ 35.03001404]
[-5.98048878],[ 35.02988434]
[-5.98050833],[ 35.02991104]
[-5.98049259],[ 35.02992249]
[-5.98049545],[ 35.02991104]
[-5.98059702],[ 35.02997971]
