longitude,latitude
[ 8.84295082],[ 47.60534668]
[ 8.84293556],[ 47.60535431]
[ 8.84294891],[ 47.60536575]
[ 8.84295845],[ 47.60537338]
[ 8.84296036],[ 47.60537338]
[ 8.84296131],[ 47.60536575]
[ 8.8429594],[ 47.60536194]
[ 8.84295559],[ 47.60535812]
[ 8.8429575],[ 47.60536194]
[ 8.84295464],[ 47.60535812]
[ 8.84296703],[ 47.60535812]
[ 8.84298038],[ 47.60536194]
[ 8.84299183],[ 47.60536194]
[ 8.84300041],[ 47.60536575]
[ 8.84299183],[ 47.60536194]
[ 8.84297752],[ 47.60535812]
[ 8.84296417],[ 47.60536194]
[ 8.8429594],[ 47.60535431]
[ 8.84295177],[ 47.60534668]
[ 8.84296227],[ 47.60534668]
[ 8.84296513],[ 47.60536194]
[ 8.84295654],[ 47.60537338]
[ 8.84295082],[ 47.60537338]
[ 8.84295559],[ 47.6053772]
[ 8.84295368],[ 47.60539246]
[ 8.84296036],[ 47.60539627]
[ 8.84297943],[ 47.60539246]
[ 8.84298611],[ 47.60540009]
[ 8.8429842],[ 47.60538483]
[ 8.84297466],[ 47.60538483]
[ 8.84296608],[ 47.60540009]
[ 8.84297276],[ 47.60542297]
[ 8.84296608],[ 47.6054306]
[ 8.84294891],[ 47.60546112]
[ 8.8429451],[ 47.60546494]
[ 8.84294796],[ 47.60544968]
[ 8.84294319],[ 47.60547638]
[ 8.76077938],[ 47.71553421]
[ 8.78026676],[ 47.75278091]
[ 8.6961422],[ 47.91672897]
[ 4.56222343],[ 23.60924339]
[ 6.61649656],[ 35.92503357]
[ 7.76491404],[ 41.65186691]
[ 8.31614304],[ 44.66579819]
[ 8.58879948],[ 46.14735031]
[ 8.72831059],[ 46.88155365]
[ 8.78954792],[ 47.24202347]
[ 8.81678963],[ 47.4234581]
[ 8.82999325],[ 47.51422119]
[ 8.83654499],[ 47.55974579]
[ 8.83974457],[ 47.58252335]
[ 8.84133816],[ 47.59395599]
[ 8.8421402],[ 47.59968567]
[ 8.8425293],[ 47.60255051]
[ 8.84271812],[ 47.60399246]
[ 8.84282112],[ 47.60470581]
[ 8.84287262],[ 47.60504913]
[ 8.84290218],[ 47.60522842]
[ 8.84289265],[ 47.60534286]
[ 8.84289551],[ 47.60538483]
[ 8.84289455],[ 47.60538864]
[ 8.84287357],[ 47.60541534]
[ 8.84288788],[ 47.60540771]
[ 8.84291267],[ 47.60540009]
[ 8.84292316],[ 47.60540771]
[ 8.8429327],[ 47.60541534]
[ 8.84292316],[ 47.60542297]
[ 8.84288979],[ 47.60543823]
[ 8.76071453],[ 47.71548462]
[ 8.78017902],[ 47.75271988]
[ 8.69608402],[ 47.9166832]
[ 4.56215334],[ 23.60922623]
[ 6.61643934],[ 35.92501831]
[ 7.76485205],[ 41.65185165]
[ 8.31609821],[ 44.66577911]
[ 8.58871078],[ 46.14735031]
[ 8.61866951],[ 46.93915176]
[ 8.70805454],[ 47.36431503]
[ 8.67027187],[ 47.70061874]
[ 4.54110289],[ 23.52210236]
[ 6.60842133],[ 35.88261414]
[ 7.75981331],[ 41.62926483]
[ 8.31415272],[ 44.65341187]
[ 8.58766651],[ 46.14148331]
[ 8.72780132],[ 46.87866592]
[ 8.78929996],[ 47.24056625]
[ 8.81666946],[ 47.42274094]
[ 8.82993317],[ 47.51388931]
[ 8.83651447],[ 47.55961609]
[ 8.83973026],[ 47.58247757]
[ 8.84134579],[ 47.59392548]
[ 8.8421526],[ 47.59963608]
[ 8.8425436],[ 47.60248566]
[ 8.8427496],[ 47.60391235]
[ 8.8428669],[ 47.60463715]
[ 8.84291458],[ 47.60501099]
[ 8.84293652],[ 47.60521698]
[ 8.84294224],[ 47.6053009]
[ 8.84293079],[ 47.60534668]
[ 8.84292507],[ 47.60535431]
[ 8.84292793],[ 47.60536957]
[ 8.84293842],[ 47.60539246]
[ 8.84294987],[ 47.60539246]
[ 8.84295559],[ 47.60540771]
[ 8.84295368],[ 47.60541534]
[ 8.84296799],[ 47.60536957]
[ 8.84296036],[ 47.60537338]
[ 8.84295273],[ 47.60539246]
[ 8.84294987],[ 47.60536575]
[ 8.84295273],[ 47.60535049]
[ 8.8429594],[ 47.60535431]
[ 8.84296417],[ 47.60535812]
[ 8.84296703],[ 47.60535812]
[ 8.84296703],[ 47.60535812]
[ 8.84296894],[ 47.60535049]
[ 8.84296703],[ 47.60534668]
[ 8.84296227],[ 47.60534286]
[ 8.84294891],[ 47.60534286]
[ 8.84293747],[ 47.60533905]
[ 8.84292603],[ 47.60534286]
[ 8.84293365],[ 47.60535431]
[ 8.8429327],[ 47.60536194]
[ 8.84292793],[ 47.60536194]
[ 8.84292507],[ 47.60536194]
[ 8.84291077],[ 47.60537338]
[ 8.8429184],[ 47.60536957]
[ 8.76076126],[ 47.71542358]
[ 8.78023624],[ 47.75271225]
[ 8.696105],[ 47.91670609]
[ 4.56217957],[ 23.60923195]
[ 6.61653662],[ 35.92499542]
[ 7.76500559],[ 41.65179825]
[ 8.3161974],[ 44.66570663]
[ 8.58884239],[ 46.14726639]
[ 8.72835541],[ 46.88147354]
[ 8.78960037],[ 47.24199295]
[ 8.81685162],[ 47.4234581]
[ 8.83006191],[ 47.51426697]
[ 8.83660984],[ 47.55981064]
[ 8.83981514],[ 47.58257294]
[ 8.84139824],[ 47.59396362]
[ 8.84218407],[ 47.59967041]
[ 8.84258747],[ 47.60254288]
[ 8.84280396],[ 47.60400391]
[ 8.84290218],[ 47.60473251]
[ 8.8429327],[ 47.60505676]
[ 8.84293842],[ 47.60520554]
[ 8.84294128],[ 47.60526276]
[ 8.84295273],[ 47.60531998]
[ 8.84297371],[ 47.60538101]
[ 8.84299374],[ 47.60541916]
[ 8.8430109],[ 47.60545349]
[ 8.84300613],[ 47.60544205]
[ 8.84299755],[ 47.60542297]
[ 8.84298706],[ 47.60539246]
[ 8.84296989],[ 47.60535049]
[ 8.84296036],[ 47.60533142]
[ 8.84296322],[ 47.60535812]
[ 8.84296131],[ 47.60538101]
[ 8.84295464],[ 47.60539627]
[ 8.84295082],[ 47.60539246]
[ 8.84294224],[ 47.60536575]
[ 8.84293747],[ 47.60533524]
[ 8.84293175],[ 47.60529709]
[ 8.8429203],[ 47.60525131]
[ 8.8429184],[ 47.60526276]
[ 8.84292698],[ 47.60531998]
[ 8.8429327],[ 47.60536575]
[ 8.84292889],[ 47.60536575]
[ 8.84291744],[ 47.60535812]
[ 8.84292412],[ 47.60536957]
[ 8.84292698],[ 47.60539246]
[ 8.84293365],[ 47.60540009]
[ 8.84293079],[ 47.60542297]
[ 8.84291935],[ 47.60541153]
[ 8.842906],[ 47.60540771]
[ 8.84290123],[ 47.60539627]
[ 8.84289074],[ 47.60538101]
[ 8.84288692],[ 47.60537338]
[ 8.84290028],[ 47.60538864]
[ 8.84290409],[ 47.60538101]
[ 8.84290504],[ 47.60536957]
[ 8.84290886],[ 47.60533905]
[ 8.84289932],[ 47.60533142]
[ 8.84288692],[ 47.60534668]
[ 8.84288979],[ 47.60537338]
[ 8.842906],[ 47.60540009]
[ 8.84290886],[ 47.60540771]
[ 8.84291077],[ 47.6054039]
[ 8.84292316],[ 47.60539627]
[ 8.8429327],[ 47.60538483]
[ 8.8429327],[ 47.60536575]
[ 8.84293365],[ 47.60536575]
[ 8.84294128],[ 47.60536957]
[ 8.84294033],[ 47.60536957]
[ 8.84294796],[ 47.60536957]
[ 8.84297562],[ 47.60537338]
[ 8.84296894],[ 47.60537338]
[ 8.84296131],[ 47.60536957]
[ 8.84296513],[ 47.60535049]
[ 8.84295845],[ 47.60533524]
[ 8.8429575],[ 47.60531998]
[ 8.84295845],[ 47.60531235]
[ 8.84294987],[ 47.60530853]
[ 8.84293652],[ 47.60531235]
[ 8.84291649],[ 47.60530853]
[ 8.84291363],[ 47.60532379]
[ 8.84293079],[ 47.60534286]
[ 8.84293747],[ 47.60535431]
[ 8.84295177],[ 47.60536957]
[ 8.84296608],[ 47.60538483]
[ 8.84295845],[ 47.60538864]
[ 8.84295273],[ 47.60540009]
[ 8.84296513],[ 47.60540009]
[ 8.84298038],[ 47.6054039]
[ 8.84299088],[ 47.60539246]
[ 8.84298611],[ 47.60535812]
[ 8.76083851],[ 47.71538925]
[ 8.78033829],[ 47.75266647]
[ 8.69617271],[ 47.91664124]
[ 4.56224918],[ 23.60920143]
[ 6.61646748],[ 35.92502975]
[ 7.76486206],[ 41.65186691]
[ 8.31609821],[ 44.66575623]
[ 8.58872128],[ 46.14727402]
[ 8.72824574],[ 46.8814621]
